PAA KWESI NDUOM,PPP,297,2012,TEMA EAST,P
AKWASI ADAE,UFP,17,2012,TEMA EAST,P
HASSAN AYARIGA,PNC,26,2012,TEMA EAST,P
ABU SAKARA,CPP,97,2012,TEMA EAST,P
JACOB OSEI YEBOAH,IND,21,2012,TEMA EAST,P
DANIEL TITUS-GLOVER,NPP,30075,2012,TEMA EAST,M
ROBERT KEMPES OFOSUWARE,NDC,30072,2012,TEMA EAST,M
RICHSTER NII AMARH AMARFIO,CPP,2064,2012,TEMA EAST,M
NICKLAN BEKOE-DERBY,PPP,585,2012,TEMA EAST,M
JEMILATU MAMUDU,PNC,197,2012,TEMA EAST,M
NATHANIEL BUKOYE KYEREMEH,NDP,72,2012,TEMA EAST,M
JOHN MAHAMA,NDC,39172,2012,TEMA WEST,P
HENRY LARTEY,GCPP,54,2012,TEMA WEST,P
NANA AKUFO-ADDO,NPP,40952,2012,TEMA WEST,P
PAA KWESI NDUOM,PPP,412,2012,TEMA WEST,P
AKWASI ADAE,UFP,3,2012,TEMA WEST,P
HASSAN AYARIGA,PNC,17,2012,TEMA WEST,P
ABU SAKARA,CPP,143,2012,TEMA WEST,P
JACOB OSEI YEBOAH,IND,15,2012,TEMA WEST,P
IRENE NAA TORSHIE ADDO,NPP,39950,2012,TEMA WEST,M
